SampleID,Year,Plot,Crop,Sampling,Treatment,Rot,Rotation,Rep,Previous crop,Years,Type,Stand_plot_1,Stage_1,dw_plot,av_dw,Stage_V7,Stage_R3,P,K,S,Ca,Mg,Zn,Mn,B,Cu,Fe,N,C,C_N,0_10_TN,0_10_TC,0_10_NO3N,0_10_BrayP,10_30_TN,10_30_TC,10_30_NO3N,10_30_BrayP,0_10_K,10_30_K,CropYield
BC1.125_S160_L001,2016,125,corn,seedling,R10,C,CPWS,R1,Soy,Four,A,16,5,1.2,0.2,NA,NA,0.73,1.11,0.33,1.41,1.1,81.21,101.72,5.67,31.34,258.62,5.4711,45.379,8.294310102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.221_S162_L001,2016,221,corn,seedling,R10,C,CPWS,R2,Soy,Four,A,15,6,1.36,0.226666667,NA,NA,0.82,1.17,0.36,1.53,1.15,65.11,118.33,6.16,29.95,320.28,5.6927,44.96,7.897834068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.302_S165_L001,2016,302,corn,seedling,R10,C,CPWS,R3,Soy,Four,A,12,6,1.51,0.251666667,NA,NA,0.8,1.05,0.39,1.54,1.35,66.49,124.93,8.21,37.17,431.42,5.4493,44.15,8.10195805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.407_S159_L001,2016,407,corn,seedling,R10,C,CPWS,R4,Soy,Four,A,13,6,1.7,0.283333333,NA,NA,0.78,1.26,0.34,1.32,1.03,60.31,100.18,4.92,30.2,232.75,5.313,45.374,8.540184453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC2.125_S147_L001,2016,125,corn,flowering,R10,C,CPWS,R1,Soy,Four,A,NA,NA,422.8,105.7,NA,NA,0.17,0.72,0.08,0.53,0.43,27.03,53.19,6.32,5.36,68.14,1.5731,45.567,28.96637213,0.16714,2.0337,3.37,NA,0.10937,1.4286,2.625,NA,NA,NA,4879.99237
BC2.221_S153_L001,2016,221,corn,flowering,R10,C,CPWS,R2,Soy,Four,A,NA,NA,421.4,105.35,NA,NA,0.18,0.72,0.1,0.53,0.44,20.89,54.52,6.85,6.71,101.21,1.7005,45.693,26.87033226,0.14846,1.7637,2.865,NA,0.11761,1.194,0.4741,NA,NA,NA,4939.915732
BC2.302_S146_L001,2016,302,corn,flowering,R10,C,CPWS,R3,Soy,Four,A,NA,NA,435.8,108.95,NA,NA,0.18,0.74,0.1,0.5,0.43,29.46,68.29,6.73,10.1,109.63,1.6606,45.444,27.36601228,0.18653,2.3277,2.536,NA,0.14524,1.6341,0.3665,NA,NA,NA,5641.497842
BC2.407_S143_L001,2016,407,corn,flowering,R10,C,CPWS,R4,Soy,Four,A,NA,NA,461.4,115.35,NA,NA,0.18,0.76,0.09,0.51,0.4,22.82,62.87,8.09,10.08,111.66,1.6767,45.679,27.24339476,0.13138,1.4901,2.485,NA,0.09592,1.0877,0.8213,NA,NA,NA,5382.387371
BS1.123_S108_L001,2016,123,soy,seedling,R9,C,CPWS,R1,winter wheat,Four,A,49,6,3.95,0.658333333,NA,NA,0.44,1.43,0.25,1.92,1,47.2,80.34,54.74,12.49,232.28,4.1632,45.143,10.84334166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.235_S111_L001,2016,235,soy,seedling,R9,C,CPWS,R2,winter wheat,Four,A,58,6,3.82,0.636666667,NA,NA,0.46,1.54,0.27,1.87,0.99,49.37,73.83,52.97,14.27,173,4.289,45.448,10.59640942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.333_S103_L001,2016,333,soy,seedling,R9,C,CPWS,R3,winter wheat,Four,A,61,5,3.04,0.506666667,NA,NA,0.41,1.44,0.25,1.92,0.95,43.09,70.35,51.24,13.31,202.69,3.8543,45.454,11.79306229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.421_S98_L001,2016,421,soy,seedling,R9,C,CPWS,R4,winter wheat,Four,A,60,6,3.58,0.596666667,NA,NA,0.41,1.27,0.23,1.92,0.95,37.85,73.29,50.45,10.48,263.5,4.1205,45.41,11.02050722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS2.123_S127_L001,2016,123,soy,flowering,R9,C,CPWS,R1,winter wheat,Four,A,NA,NA,23.27,5.8175,4,4,0.32,0.82,0.21,1.72,1.08,44.97,83.54,53.81,13.24,160.26,4.0441,45.58,11.27074009,0.16128,2.0074,2.719,NA,0.1496,1.7098,2.668,NA,NA,NA,2669.995845
BS2.235_S123_L001,2016,235,soy,flowering,R9,C,CPWS,R2,winter wheat,Four,A,NA,NA,20.75,5.1875,4,4,0.3,0.82,0.18,1.66,1.01,54.05,63.82,54.11,11.22,129.5,3.8342,45.24,11.79907151,0.15979,1.9247,1.341,NA,0.13153,1.4803,1.364,NA,NA,NA,2507.948837
BS2.333_S119_L001,2016,333,soy,flowering,R9,C,CPWS,R3,winter wheat,Four,A,NA,NA,20.37,5.0925,4,3,0.23,0.7,0.14,1.28,0.76,25.67,50.08,38.12,9.39,165.04,3.5336,45.379,12.84214399,0.15332,1.8407,4.922,NA,0.10634,1.1137,2.866,NA,NA,NA,2611.756115
BS2.421_S117_L001,2016,421,soy,flowering,R9,C,CPWS,R4,winter wheat,Four,A,NA,NA,21.52,5.38,4,4,0.24,0.8,0.15,1.52,0.82,32.64,52.38,42.72,11.3,132,3.7706,45.267,12.00525115,0.14654,1.737,4.227,NA,0.10882,1.2071,1.998,NA,NA,NA,2714.105399
BC1.124_S163_L001,2016,124,corn,seedling,R18,E,CSSwSf,R1,Sunflower,Four,B,15,5,2.02,0.336666667,NA,NA,0.68,1.58,0.31,1.34,0.87,56.38,96.37,31.88,30.4,315.48,5.2157,45.328,8.690683897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.205_S171_L001,2016,205,corn,seedling,R18,E,CSSwSf,R2,Sunflower,Four,B,14,6,1.92,0.32,NA,NA,0.73,1.31,0.32,1.32,1.03,67.58,92.47,43.57,31.77,296.68,5.5248,44.847,8.117397915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.336_S173_L001,2016,336,corn,seedling,R18,E,CSSwSf,R3,Sunflower,Four,B,14,6,2.88,0.48,NA,NA,0.5,2.52,0.3,1.04,0.66,49.77,74.15,32.3,25.66,253.65,5.2781,45.067,8.538489229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.430_S164_L001,2016,430,corn,seedling,R18,E,CSSwSf,R4,Sunflower,Four,B,12,6,1.57,0.261666667,NA,NA,0.84,1.27,0.35,1.35,1.09,68.55,103.98,32.49,34.63,382.75,5.3196,44.464,8.358523197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC2.124_S149_L001,2016,124,corn,flowering,R18,E,CSSwSf,R1,Sunflower,Four,B,NA,NA,465.5,116.375,NA,NA,0.13,0.76,0.05,0.37,0.32,24.12,38.96,6.87,5.32,45.21,1.1673,45.404,38.89659899,0.16815,1.9404,1.904,NA,0.10995,1.2175,0.7371,NA,NA,NA,5787.880185
BC2.205_S152_L001,2016,205,corn,flowering,R18,E,CSSwSf,R2,Sunflower,Four,B,NA,NA,526.3,131.575,NA,NA,0.17,0.68,0.08,0.47,0.4,28.22,50.38,6.58,8.97,89.9,1.7051,45.51,26.69051669,0.15939,1.823,3.966,NA,0.13235,1.5146,0.6158,NA,NA,NA,5073.645491
BC2.336_S141_L001,2016,336,corn,flowering,R18,E,CSSwSf,R3,Sunflower,Four,B,NA,NA,576.6,144.15,NA,NA,0.11,0.68,0.06,0.36,0.32,22.63,40.19,4.6,8.07,71.88,1.3152,45.562,34.6426399,0.1656,2.0966,4.359,NA,0.14291,1.6474,0.7133,NA,NA,NA,5250.743544
BC2.430_S138_L001,2016,430,corn,flowering,R18,E,CSSwSf,R4,Sunflower,Four,B,NA,NA,507,126.75,NA,NA,0.15,0.73,0.08,0.49,0.39,22.28,50.31,6.66,6.77,86.49,1.675,45.539,27.18746269,0.16903,1.9696,3.014,NA,0.11035,1.2071,0.5983,NA,NA,NA,5651.559034
BS1.122_S114_L001,2016,122,soy,seedling,R19,E,CSSwSf,R1,corn,Four,B,45,2,2.02,0.336666667,NA,NA,0.43,1.33,0.23,1.59,0.81,45.11,65.51,53.35,12.19,229.83,4.0057,45.708,11.4107397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.231_S105_L001,2016,231,soy,seedling,R19,E,CSSwSf,R2,corn,Four,B,46,5,2.27,0.378333333,NA,NA,0.48,1.32,0.24,1.85,1,48.96,69.02,57.9,13.36,134.54,4.1543,45.818,11.02905423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.321_S112_L001,2016,321,soy,seedling,R19,E,CSSwSf,R3,corn,Four,B,59,4,2.61,0.435,NA,NA,0.47,1.44,0.23,1.79,0.92,47.64,60.55,52.88,12.11,145.21,3.811,45.496,11.938074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.419_S104_L001,2016,419,soy,seedling,R19,E,CSSwSf,R4,corn,Four,B,57,4,2.44,0.406666667,NA,NA,0.41,1.26,0.22,1.85,0.91,43.96,65.66,52.61,11.54,340.65,4.3693,45.674,10.4533907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS2.122_S128_L001,2016,122,soy,flowering,R19,E,CSSwSf,R1,corn,Four,B,NA,NA,8.83,2.2075,2,2,0.34,0.82,0.19,1.79,0.96,54.08,60.22,49.69,12.86,162.55,3.8896,45.83,11.78270259,0.17522,2.1527,2.345,NA,0.13106,1.5443,0.727,NA,NA,NA,2037.680071
BS2.231_S125_L001,2016,231,soy,flowering,R19,E,CSSwSf,R2,corn,Four,B,NA,NA,16.87,4.2175,3,3,0.28,0.72,0.15,1.45,0.86,36.52,53.13,47.64,11.92,119.99,3.7412,45.487,12.15839837,0.18856,2.2651,4.453,NA,0.14243,1.654,4.101,NA,NA,NA,2115.53022
BS2.321_S126_L001,2016,321,soy,flowering,R19,E,CSSwSf,R3,corn,Four,B,NA,NA,10.74,2.685,3,2,0.27,0.92,0.15,1.63,0.84,37.09,53.24,46.48,10.84,118.74,3.4377,45.596,13.26351921,0.15372,1.7624,4.291,NA,0.12524,1.3856,2.597,NA,NA,NA,2229.109614
BS2.419_S120_L001,2016,419,soy,flowering,R19,E,CSSwSf,R4,corn,Four,B,NA,NA,14.15,3.5375,4,1,0.25,0.75,0.13,1.39,0.78,38.6,48.08,43.34,15.29,125.36,3.8762,45.239,11.67096641,0.15043,1.8004,4.385,NA,0.11929,1.3075,2.516,NA,NA,NA,2206.083091
BC1.118_S172_L001,2016,118,corn,seedling,R26,G,CSSwP,R1,Pea,Four,B,15,6,2.48,0.413333333,NA,NA,0.58,1.97,0.34,1.17,0.79,51.45,96.67,31.12,23.13,545.93,5.4951,44.48,8.094484177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.213_S166_L001,2016,213,corn,seedling,R26,G,CSSwP,R2,Pea,Four,B,17,6,1.76,0.293333333,NA,NA,0.71,1.07,0.37,1.38,1.07,45.53,98.83,35.79,30.05,324.65,5.4197,45.075,8.316881008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.314_S170_L001,2016,314,corn,seedling,R26,G,CSSwP,R3,Pea,Four,B,11,6,1.59,0.265,NA,NA,0.63,1.15,0.38,1.44,1.17,45.83,122.01,47.63,27.32,347.72,5.4074,44.696,8.265709953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.426_S168_L001,2016,426,corn,seedling,R26,G,CSSwP,R4,Pea,Four,B,11,6,1.83,0.305,NA,NA,0.68,1.16,0.38,1.37,1.05,56.11,97.84,29.78,30.01,298.41,5.3013,45.148,8.516401637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC2.118_S151_L001,2016,118,corn,flowering,R26,G,CSSwP,R1,Pea,Four,B,NA,NA,444.9,111.225,NA,NA,0.13,0.63,0.07,0.41,0.35,20.22,44.65,5.94,6.1,81.84,1.2917,45.94,35.56553379,0.1767,2.0665,3.965,NA,0.14179,1.6776,1.284,NA,NA,NA,5704.710104
BC2.213_S148_L001,2016,213,corn,flowering,R26,G,CSSwP,R2,Pea,Four,B,NA,NA,458.7,114.675,NA,NA,0.15,0.73,0.1,0.48,0.41,19.98,63.4,7.33,7.6,111.98,1.6992,45.523,26.79084275,0.13778,1.5952,2.997,NA,0.10682,1.1769,0.4953,NA,NA,NA,5681.249325
BC2.314_S142_L001,2016,314,corn,flowering,R26,G,CSSwP,R3,Pea,Four,B,NA,NA,445.7,111.425,NA,NA,0.15,0.68,0.09,0.48,0.37,17.53,71.01,6.42,7.86,76.95,1.5732,45.632,29.00584795,0.12281,1.5031,1.675,NA,0.09586,1.0214,0.5651,NA,NA,NA,5778.161307
BC2.426_S140_L001,2016,426,corn,flowering,R26,G,CSSwP,R4,Pea,Four,B,NA,NA,484.6,121.15,NA,NA,0.12,0.68,0.08,0.42,0.31,19.24,47.95,5.19,7.73,72.9,1.6037,45.442,28.33572364,0.17202,2.0079,3.577,NA,0.10756,1.1306,0.3202,NA,NA,NA,5513.44034
BS1.130_S110_L001,2016,130,soy,seedling,R27,G,CSSwP,R1,corn,Four,B,54,6,3.04,0.506666667,NA,NA,0.5,0.95,0.25,1.83,1.12,49.85,67.13,57.74,12.95,163.6,4.1942,45.705,10.89719136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.227_S115_L001,2016,227,soy,seedling,R27,G,CSSwP,R2,corn,Four,B,51,6,2.9,0.483333333,NA,NA,0.5,1.24,0.26,1.93,1.09,54.78,72.47,53.27,14.66,187.32,4.2516,45.557,10.71526014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.301_S99_L001,2016,301,soy,seedling,R27,G,CSSwP,R3,corn,Four,B,52,6,3.24,0.54,NA,NA,0.43,1.08,0.24,1.79,1.1,43.54,63.8,51.56,12.82,166.71,4.1975,45.383,10.81191185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.422_S100_L001,2016,422,soy,seedling,R27,G,CSSwP,R4,corn,Four,B,46,3,2.21,0.368333333,NA,NA,0.41,0.86,0.23,1.75,0.96,41.82,55.3,53.86,11.97,211.32,4.065,46.031,11.32373924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS2.130_S135_L001,2016,130,soy,flowering,R27,G,CSSwP,R1,corn,Four,B,NA,NA,18.63,4.6575,4,4,0.36,0.75,0.17,1.68,1.08,42.81,67.57,57.97,12.02,147.12,3.7343,45.526,12.19130761,0.18664,2.2374,4.655,NA,0.14648,1.7773,3.508,NA,NA,NA,2321.283246
BS2.227_S132_L001,2016,227,soy,flowering,R27,G,CSSwP,R2,corn,Four,B,NA,NA,14.51,3.6275,3,4,0.31,0.78,0.16,1.67,1.04,44.46,66.75,50.87,12.12,210.67,3.7686,44.906,11.91583081,0.14866,1.7183,2.487,NA,0.09471,1.0013,2.452,NA,NA,NA,2530.340089
BS2.301_S129_L001,2016,301,soy,flowering,R27,G,CSSwP,R3,corn,Four,B,NA,NA,20.01,5.0025,4,4,0.24,0.81,0.18,1.53,1,31,58.33,45.95,11.42,141.42,3.7481,45.118,12.0375657,0.18828,2.287,2.221,NA,0.16284,1.8521,2.242,NA,NA,NA,2574.082668
BS2.422_S131_L001,2016,422,soy,flowering,R27,G,CSSwP,R4,corn,Four,B,NA,NA,17.6,4.4,4,4,0.23,0.6,0.14,1.3,0.81,37.83,46.22,45.02,9.23,178.76,3.798,45.382,11.94892048,0.15608,1.7657,4.166,NA,0.11376,1.2205,2.549,NA,NA,NA,2486.862481
BS1.207_S109_L001,2016,207,soy,seedling,R29,H,COWS,R2,winter wheat,Four,A,54,6,2.82,0.47,NA,NA,0.47,1.53,0.27,1.86,0.96,43.81,82.32,53.72,12.64,189.68,3.9957,45.751,11.45005881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.330_S101_L001,2016,330,soy,seedling,R29,H,COWS,R3,winter wheat,Four,A,47,6,3.51,0.585,NA,NA,0.41,1.69,0.25,1.94,0.92,45.48,76.64,52.08,10.56,170.09,3.9494,45.446,11.50706436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.409_S102_L001,2016,409,soy,seedling,R29,H,COWS,R4,winter wheat,Four,A,50,5,2.71,0.451666667,NA,NA,0.46,1.69,0.26,1.94,0.93,50.75,81.62,55.68,10.97,209.21,3.97,45.586,11.48261965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS2.104_S118_L001,2016,104,soy,flowering,R29,H,COWS,R1,winter wheat,Four,A,NA,NA,16.38,4.095,4,4,0.31,0.77,0.18,1.9,1.02,40.53,78.31,53.1,10.45,138.72,3.8478,45.635,11.86002391,0.14328,1.7134,3.912,NA,0.10505,1.1536,3.402,NA,NA,NA,2245.959156
BS2.207_S136_L001,2016,207,soy,flowering,R29,H,COWS,R2,winter wheat,Four,A,NA,NA,17.66,4.415,3,3,0.28,1.01,0.17,1.8,0.9,30.38,72.76,46.44,10.68,143.74,3.89,45.62,11.72750643,0.14407,1.6768,2.017,NA,0.12498,1.4565,2.255,NA,NA,NA,2253.922655
BS2.330_S124_L001,2016,330,soy,flowering,R29,H,COWS,R3,winter wheat,Four,A,NA,NA,20.77,5.1925,4,2,0.26,0.85,0.17,1.54,0.94,33.89,60.09,45.49,11.24,144.74,3.7545,45.327,12.07271274,0.17322,2.0302,4.116,NA,0.12673,1.3986,2.171,NA,NA,NA,2597.307073
BS2.409_S122_L001,2016,409,soy,flowering,R29,H,COWS,R4,winter wheat,Four,A,NA,NA,23.48,5.87,4,4,0.31,1.13,0.17,1.64,0.79,49.43,63.57,46.59,10.98,188.65,3.9072,44.998,11.51668714,0.14201,1.6764,3.282,NA,0.10937,1.1876,2.706,NA,NA,NA,2242.958939
BC1.108_S161_L001,2016,108,corn,seedling,R30,H,COWS,R1,Soy,Four,A,16,5,1.4,0.233333333,NA,NA,0.8,1.16,0.37,1.39,1.19,63.44,116.8,10.64,32.04,287.25,5.5959,45.088,8.057327686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.223_S169_L001,2016,223,corn,seedling,R30,H,COWS,R2,Soy,Four,A,15,6,1.78,0.296666667,NA,NA,0.56,1.36,0.3,1.19,0.86,57.86,93.73,13.11,23.31,367.43,5.3729,45.174,8.407750005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.328_S175_L001,2016,328,corn,seedling,R30,H,COWS,R3,Soy,Four,A,10,6,1.45,0.241666667,NA,NA,0.74,1.12,0.38,1.39,1.16,69.43,112.55,5.88,34.1,341.24,5.4716,44.335,8.102748739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.402_S176_L001,2016,402,corn,seedling,R30,H,COWS,R4,Soy,Four,A,12,6,1.22,0.203333333,NA,NA,0.73,1.15,0.35,1.39,1.16,55.24,125.47,6.07,34.31,534.14,5.2256,44.758,8.565140845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC2.108_S155_L001,2016,108,corn,flowering,R30,H,COWS,R1,Soy,Four,A,NA,NA,483.7,120.925,NA,NA,0.16,0.69,0.09,0.48,0.43,26.68,63.89,8.39,7.15,98.33,1.6652,45.429,27.28140764,0.15153,1.8454,2.531,NA,0.10153,1.1147,0.9594,NA,NA,NA,5995.339476
BC2.223_S150_L001,2016,223,corn,flowering,R30,H,COWS,R2,Soy,Four,A,NA,NA,426.9,106.725,NA,NA,0.11,0.69,0.06,0.34,0.31,24.35,40.5,5.29,6.04,98.06,1.153,44.98,39.01127493,0.15242,1.9087,5.615,NA,0.13,1.6308,1.021,NA,NA,NA,5770.729821
BC2.328_S139_L001,2016,328,corn,flowering,R30,H,COWS,R3,Soy,Four,A,NA,NA,462.2,115.55,NA,NA,0.11,0.61,0.05,0.34,0.33,20.85,38.01,4.6,4.09,152.36,1.1308,45.363,40.11584719,0.17155,2.056,2.342,NA,0.10835,1.1923,0.3536,NA,NA,NA,5880.354796
BC2.402_S145_L001,2016,402,corn,flowering,R30,H,COWS,R4,Soy,Two,A,NA,NA,515.2,128.8,NA,NA,0.14,0.78,0.08,0.44,0.35,23.97,61.79,4.97,7.6,93.07,1.4202,45.413,31.97648219,0.17715,2.1389,3.338,NA,0.13228,1.5163,0.3113,NA,NA,NA,6207.21818
BS1.133_S116_L001,2016,133,soy,seedling,R33,I,CSCS,R1,corn,Two,C,54,3,2.48,0.413333333,NA,NA,0.45,1.07,0.23,1.8,0.99,48.08,58.22,53.68,13.43,149.41,3.9603,45.906,11.59154609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.220_S107_L001,2016,220,soy,seedling,R33,I,CSCS,R2,corn,Two,C,57,4,2.44,0.406666667,NA,NA,0.47,1.38,0.24,1.88,1.02,48.94,64.45,53.84,11.83,164.3,4.2113,45.78,10.8707525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.332_S97_L001,2016,332,soy,seedling,R33,I,CSCS,R3,corn,Two,C,48,4,2.93,0.488333333,NA,NA,0.44,0.94,0.24,1.94,1.18,46.7,65.26,58.46,10.21,201.02,3.8405,45.22,11.77450853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.434_S113_L001,2016,434,soy,seedling,R33,I,CSCS,R4,corn,Two,C,44,5,2.71,0.451666667,NA,NA,0.41,1.04,0.21,1.82,0.92,41.32,57.76,52.17,10.64,210.81,4.0604,45.878,11.29888681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS2.133_S133_L001,2016,133,soy,flowering,R33,I,CSCS,R1,corn,Two,C,NA,NA,10.31,2.5775,1,3,0.32,0.72,0.18,1.63,0.97,39.09,60.85,50.67,12.38,138.92,4.126,45.648,11.06349976,0.17568,2.2123,3.244,NA,0.13703,1.7649,2.613,NA,NA,NA,1748.048585
BS2.220_S134_L001,2016,220,soy,flowering,R33,I,CSCS,R2,corn,Two,C,NA,NA,16.33,4.0825,2,2,0.31,0.78,0.18,1.71,0.96,40.46,62.75,51.78,11.38,179.92,3.8038,45.683,12.00983227,0.13346,1.6381,3.56,NA,0.10376,1.1169,3.418,NA,NA,NA,2063.285322
BS2.332_S121_L001,2016,332,soy,flowering,R33,I,CSCS,R3,corn,Two,C,NA,NA,13.68,3.42,3,3,0.24,0.49,0.16,1.2,0.85,32.18,53.76,40.22,12.58,732.47,4.0188,45.153,11.23544342,0.17338,1.9631,4.76,NA,0.11829,1.3273,2.419,NA,NA,NA,1861.732443
BS2.434_S130_L001,2016,434,soy,flowering,R33,I,CSCS,R4,corn,Two,C,NA,NA,12.69,3.1725,1,2,0.26,0.63,0.15,1.4,0.87,45.09,49.57,44.87,9.59,117.33,3.7263,45.551,12.22419022,0.18188,2.1286,6.023,NA,0.14915,1.6864,3.89,NA,NA,NA,2064.715366
BC1.113_S158_L001,2016,113,corn,seedling,R34,I,CSCS,R1,Soy,Two,C,15,5,1.16,0.193333333,NA,NA,0.8,1.03,0.37,1.4,1.2,65.55,109.8,7.11,34.99,291.37,5.5103,45.027,8.171424423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.230_S167_L001,2016,230,corn,seedling,R34,I,CSCS,R2,Soy,Two,C,15,6,1.59,0.265,NA,NA,0.8,0.99,0.36,1.48,1.25,66.24,125.76,15.11,33.96,352.32,5.4921,44.401,8.084521403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.310_S157_L001,2016,310,corn,seedling,R34,I,CSCS,R3,Soy,Two,C,12,4,0.86,0.143333333,NA,NA,0.75,0.83,0.4,1.55,1.33,55.9,144.67,40.17,33.43,324.81,5.2565,42.912,8.163606963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.427_S174_L001,2016,427,corn,seedling,R34,I,CSCS,R4,Soy,Two,C,12,6,1.31,0.218333333,NA,NA,0.63,1.08,0.36,1.49,1.19,57.34,112.55,38.5,29.65,351.53,5.5021,44.855,8.152341833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC2.113_S154_L001,2016,113,corn,flowering,R34,I,CSCS,R1,Soy,Two,C,NA,NA,415.4,103.85,NA,NA,0.15,0.65,0.08,0.48,0.42,27.32,60.34,6.93,8.11,84.07,1.6641,45.146,27.12937924,0.17127,2.1222,3.606,NA,0.14191,1.6369,1.912,NA,NA,NA,5218.341561
BC2.230_S156_L001,2016,230,corn,flowering,R34,I,CSCS,R2,Soy,Two,C,NA,NA,419.2,104.8,NA,NA,0.2,0.68,0.09,0.57,0.48,25.64,55.78,7.94,9.09,138.74,1.8494,45.315,24.50254136,0.15757,1.941,3.148,NA,0.11265,1.2588,1.095,NA,NA,NA,4998.362217
BC2.310_S144_L001,2016,310,corn,flowering,R34,I,CSCS,R3,Soy,Two,C,NA,NA,424.4,106.1,NA,NA,0.18,0.72,0.1,0.55,0.48,27.8,76.17,8.62,10.04,101.11,1.9391,45.359,23.39177969,0.11638,1.3464,3.754,NA,0.09703,0.98885,1.552,NA,NA,NA,5179.622737
BC2.427_S137_L001,2016,427,corn,flowering,R34,I,CSCS,R4,Soy,Two,C,NA,NA,431.6,107.9,NA,NA,0.16,0.75,0.09,0.55,0.44,27.33,60.88,7.39,9.57,112.63,1.7804,45.446,25.52572456,0.16425,1.9216,3.101,NA,0.11282,1.3373,0.7031,NA,NA,NA,5207.830797
