"CROP","SAMPLING","BARCODE","CONTRAST","ASV","PHYLUM","TAXA","GUILD","AXIS","RSQ","F_OBS","P_VAL","P_ADJ"
"corn","seedling","ITS","FOLLOW_SOY","ASV_9","Ascomycota","Unknown Trichoderma","Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph",0.382145592301426,0.0662539026893628,4.19515820681683,0.051,0.529592307692308
"corn","seedling","ITS","FOLLOW_SOY","ASV_15","Ascomycota","Unknown Drechslera","Plant Pathogen",0.348528696095438,0.0367865387661906,1.41309437395107,0.2418,0.732163636363636
"corn","seedling","ITS","FOLLOW_SOY","ASV_17","Ascomycota","Gibberella acuminata","Plant Pathogen",0.234791881117822,0.0851861015893596,4.52773246104014,0.045,0.529592307692308
"corn","seedling","ITS","FOLLOW_SOY","ASV_8","Ascomycota","Unknown Trichoderma","Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph",0.155820096304072,0.0121155763370469,1.75937515970566,0.1985,0.691830597014925
"corn","seedling","ITS","FOLLOW_SOY","ASV_183","Ascomycota","Unknown Diaporthe","Endophyte-Plant Pathogen",0.144214640731723,0.28868988625619,17.698986726218,0.000199999999999978,0.0173199999999981
"corn","seedling","ITS","FOLLOW_SOY","ASV_13","Ascomycota","Clonostachys rosea","Plant Pathogen",0.118241130314486,0.0704505260209294,3.12880290221231,0.0843,0.551473611111111
"corn","seedling","ITS","FOLLOW_SOY","ASV_54","Ascomycota","Unknown Microdochium","Endophyte-Plant Pathogen",0.105120131907066,0.0590483546072909,2.4321934046973,0.121,0.638939024390244
"corn","seedling","ITS","FOLLOW_SOY","ASV_3","Ascomycota","Unknown Helotiales","-",-0.104540818787955,0.00815888900688918,0.309631637966478,0.5929,0.86627845659164
"corn","seedling","ITS","FOLLOW_SOY","ASV_43","Ascomycota","Unknown Chaetothyriales","-",-0.122616917948127,0.126679407697233,5.39972315106206,0.023,0.368851851851852
"corn","seedling","ITS","FOLLOW_SOY","ASV_71","Ascomycota","Unknown Paraphaeosphaeria","Undefined Saprotroph",-0.132442896446342,0.0712409750450752,2.95369428293152,0.0944,0.552367567567568
"corn","seedling","ITS","FOLLOW_SOY","ASV_130","Olpidiomycota","Olpidium brassicae","Plant Pathogen",-0.133771070609665,0.0546766132357556,2.54095661367831,0.1171,0.63380375
"corn","seedling","ITS","FOLLOW_SOY","ASV_62","Olpidiomycota","Olpidium brassicae","Plant Pathogen",-0.140456935658726,0.0181066535494246,1.63258388784742,0.1921,0.691830597014925
"corn","seedling","ITS","FOLLOW_SOY","ASV_25","Ascomycota","Dactylonectria macrodidyma","-",-0.157513831552874,0.229494280701233,11.0374698365564,0.00260000000000005,0.112580000000002
"corn","seedling","ITS","FOLLOW_SOY","ASV_69","Chytridiomycota","Unknown Chytridiaceae","-",-0.239590640564642,0.119196577417854,7.90163804890653,0.00960000000000005,0.225615789473685
"corn","seedling","ITS","FOLLOW_SOY","ASV_42","Olpidiomycota","Olpidium brassicae","Plant Pathogen",-0.401623965437243,0.0828279491256016,6.76486345961376,0.0143,0.294852380952381
"corn","flowering","16S","ROTATION_LENGTH","ASV_204","Proteobacteria","Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia",NA,0.269289954424099,0.269806929909082,13.8572695312232,0.00260000000000005,0.192400000000003
"corn","flowering","16S","ROTATION_LENGTH","ASV_222","Actinobacteria","Nocardioidaceae Kribbella",NA,0.214679801485962,0.216396618456515,9.70787793382497,0.00390000000000001,0.240500000000001
"corn","flowering","16S","ROTATION_LENGTH","ASV_479","Actinobacteria","Pseudonocardiaceae Amycolatopsis",NA,0.198552955275779,0.390115178888355,22.6419959529628,0.000399999999999956,0.0739999999999919
"corn","flowering","16S","ROTATION_LENGTH","ASV_136","Actinobacteria","Solirubrobacteraceae Conexibacter",NA,0.182654744503974,0.0830982655580134,3.36653507222526,0.0939,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_460","Verrucomicrobia","Rubritaleaceae Luteolibacter",NA,0.159383288809533,0.0567609177556364,2.1137826020283,0.1613,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_307","Actinobacteria","Intrasporangiaceae Lapillicoccus",NA,0.158795060192256,0.403862494298949,23.7153362369674,0.000299999999999967,0.0739999999999919
"corn","flowering","16S","ROTATION_LENGTH","ASV_238","Proteobacteria","Burkholderiaceae Variovorax",NA,0.144222003193724,0.0912184394018235,3.84077916809211,0.0433,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_284","Proteobacteria","Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia",NA,0.127377935916574,0.196906249441767,9.27685705393539,0.0081,0.374625
"corn","flowering","16S","ROTATION_LENGTH","ASV_236","Proteobacteria","Burkholderiaceae Variovorax",NA,0.124091179945515,0.122442313658339,5.08622714778723,0.03,0.841133333333334
"corn","flowering","16S","ROTATION_LENGTH","ASV_183","Verrucomicrobia","Chthoniobacteraceae Candidatus_Udaeobacter",NA,0.115673084857432,0.0675286463476384,2.7441228823802,0.1167,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_149","Actinobacteria","Cellulomonadaceae Cellulomonas",NA,0.111143535803073,0.0818119845120417,3.74263688863088,0.0703,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_417","Actinobacteria","Propionibacteriaceae Microlunatus",NA,0.109730163259284,0.0530483114429907,2.3817069782533,0.1106,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_103","Actinobacteria","Gaiellaceae Gaiella",NA,0.105255214228429,0.0303969998023982,1.10644504703171,0.2962,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_86","Actinobacteria","Streptomycetaceae Streptomyces",NA,0.102904029647669,0.258363912225006,13.0931550969268,0.00170000000000003,0.157250000000003
"corn","flowering","16S","ROTATION_LENGTH","ASV_63","Verrucomicrobia","Chthoniobacteraceae Candidatus_Udaeobacter",NA,-0.112202944372124,0.0140270811139508,0.498418994288215,0.4695,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_79","Actinobacteria","Micrococcaceae Pseudarthrobacter",NA,-0.119427558046574,0.0547308341884186,2.31779672791565,0.1466,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_122","Actinobacteria","Intrasporangiaceae Lapillicoccus",NA,-0.132537324010281,0.0814014438237716,4.22883678995495,0.0528999999999999,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_113","Verrucomicrobia","Chthoniobacteraceae Candidatus_Udaeobacter",NA,-0.140655545516435,0.104377671986534,4.20090063817903,0.05,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_74","Verrucomicrobia","Chthoniobacteraceae Candidatus_Udaeobacter",NA,-0.147660460372911,0.0664115258796423,2.62518421893125,0.0989,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_242","Verrucomicrobia","Chthoniobacteraceae Candidatus_Udaeobacter",NA,-0.165883027105198,0.0345233975666411,1.32688376430161,0.2481,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_384","Verrucomicrobia","Chthoniobacteraceae Candidatus_Udaeobacter",NA,-0.173682657537195,0.0498144114358488,1.83721726610722,0.1809,0.844716981132075
"corn","flowering","16S","ROTATION_LENGTH","ASV_115","Actinobacteria","Propionibacteriaceae Microlunatus",NA,-0.187217225364781,0.135738391901516,5.52655143906826,0.0303,0.841133333333334
"soy","seedling","ITS","FOLLOW_CORN","ASV_32","Ascomycota","Unknown Cladosporium","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph",0.392626055988482,0.228955050270949,12.4680595397708,0.00170000000000003,0.147220000000003
"soy","seedling","ITS","FOLLOW_CORN","ASV_25","Ascomycota","Dactylonectria macrodidyma","-",0.227054400713518,0.0840026727962895,3.4219543096276,0.0608,0.432312698412698
"soy","seedling","ITS","FOLLOW_CORN","ASV_64","Basidiomycota","Ustilago maydis","Plant Pathogen",0.197318434952617,0.141637984179875,6.52000393776904,0.0181,0.429979069767441
"soy","seedling","ITS","FOLLOW_CORN","ASV_14","Ascomycota","Unknown Alternaria","Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph",0.177795124878334,0.0954693618321157,4.03864631746215,0.0523,0.432312698412698
"soy","seedling","ITS","FOLLOW_CORN","ASV_23","Ascomycota","Unknown Didymellaceae","-",0.160566602394894,0.0964429785254558,3.91131900431802,0.0584,0.432312698412698
"soy","seedling","ITS","FOLLOW_CORN","ASV_65","Ascomycota","Unknown Branch06","-",0.158774510777595,0.0961429786877771,5.34840355534783,0.03,0.429979069767441
"soy","seedling","ITS","FOLLOW_CORN","ASV_259","Ascomycota","Unknown Neosetophoma","Undefined Saprotroph",0.151649628014056,0.208748979410596,10.1400855114708,0.00429999999999997,0.206877777777776
"soy","seedling","ITS","FOLLOW_CORN","ASV_58","Ascomycota","Penicillium decumbens","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph",-0.106195743340846,0.0237877510712445,0.884408680739433,0.3515,0.58963446969697
"soy","seedling","ITS","FOLLOW_CORN","ASV_71","Ascomycota","Unknown Paraphaeosphaeria","Undefined Saprotroph",-0.114807353313653,0.159804033892944,6.97013019220911,0.0081,0.318845454545454
"soy","seedling","ITS","FOLLOW_CORN","ASV_29","Ascomycota","Mycosphaerella tassiana","Plant Pathogen",-0.13622376842528,0.276022226942985,14.2143369905976,0.000399999999999956,0.0432999999999952
"soy","seedling","ITS","FOLLOW_CORN","ASV_88","Ascomycota","Unknown Branch06","-",-0.156795792926897,0.0815376742793627,3.20517557081051,0.0927,0.507883529411765
"soy","seedling","ITS","FOLLOW_CORN","ASV_52","Ascomycota","Corynespora cassiicola","Undefined Saprotroph",-0.186993029077318,0.060295057818848,2.88897990095962,0.0629,0.432312698412698
"soy","seedling","ITS","FOLLOW_CORN","ASV_279","Ascomycota","Thelonectria rubrococca","Leaf Saprotroph",-0.243587220325449,0.0636398303040644,2.77247282826579,0.0961,0.507883529411765
"soy","seedling","ITS","FOLLOW_CORN","ASV_278","Ascomycota","Piniphoma wesendahlina","-",-0.280162791077884,0.36458901367412,20.7461133968595,0.000199999999999978,0.0432999999999952
"soy","seedling","ITS","FOLLOW_CORN","ASV_46","Ascomycota","Unknown Branch06","-",-0.481171783775061,0.230106051810535,10.7615762729902,0.00239999999999996,0.167014285714288
